season,team,c2c_games,total_tz,avg_tz,max_tz,home_games,points_for_home,points_against_home,home_wins,away_games,points_for_away,points_against_away,away_wins,total_games,total_wins,win_pct,points_for,points_against,point_diff,coast,made_playoffs
2022,JAX,1,9,0.9,3,9,210,184,6,10,245,223,4,19,10,0.5263157894736842,455,407,48,East,0
2022,KC,0,11,1.1,2,10,251,195,9,10,333,249,8,20,17,0.85,584,444,140,Central,1
2022,LA,0,0,0.0,0,9,197,205,4,8,110,179,1,17,5,0.29411764705882354,307,384,-77,Central,0
2022,LAC,3,17,1.7,3,8,174,181,5,10,247,234,5,18,10,0.5555555555555556,421,415,6,West,1
2022,LV,2,13,1.4444444444444444,3,8,217,209,4,9,178,209,2,17,6,0.35294117647058826,395,418,-23,West,0
2022,MIA,2,8,0.8,3,8,173,124,6,10,255,309,3,18,9,0.5,428,433,-5,East,0
2022,MIN,0,4,0.5,1,10,267,258,8,8,181,200,5,18,13,0.7222222222222222,448,458,-10,Central,1
2022,NE,1,7,0.7777777777777778,3,8,156,143,4,9,208,204,4,17,8,0.47058823529411764,364,347,17,East,0
2022,NO,0,9,1.125,2,9,192,185,4,8,138,160,3,17,7,0.4117647058823529,330,345,-15,Central,0
2022,NYG,1,8,0.8,3,9,201,196,5,10,202,237,5,19,10,0.5263157894736842,403,433,-30,East,0
2022,NYJ,1,7,0.7777777777777778,3,8,149,156,3,9,147,160,4,17,7,0.4117647058823529,296,316,-20,East,0
2022,PHI,0,7,0.875,2,12,346,221,9,8,235,175,7,20,16,0.8,581,396,185,East,1
2022,PIT,0,1,0.1111111111111111,1,8,159,146,4,9,149,200,5,17,9,0.5294117647058824,308,346,-38,East,0
2022,SEA,1,10,1.1111111111111112,3,9,199,178,5,9,231,264,4,18,9,0.5,430,442,-12,West,0
2022,SF,3,13,1.4444444444444444,3,11,312,168,10,9,205,175,5,20,15,0.75,517,343,174,West,1
2022,TB,1,7,0.875,3,10,207,231,5,8,120,158,3,18,8,0.4444444444444444,327,389,-62,East,0
2022,TEN,0,6,0.6666666666666666,2,8,145,165,3,9,153,194,4,17,7,0.4117647058823529,298,359,-61,Central,0
2022,WAS,1,8,1.0,3,9,160,171,4,8,161,172,4,17,8,0.47058823529411764,321,343,-22,East,0
2023,ARI,0,12,1.3333333333333333,2,8,188,238,2,9,142,217,2,17,4,0.23529411764705882,330,455,-125,Central,0
2023,ATL,0,6,0.6666666666666666,2,8,192,162,5,9,129,211,2,17,7,0.4117647058823529,321,373,-52,East,0
2023,BAL,2,9,1.125,3,11,331,187,7,8,196,120,7,19,14,0.7368421052631579,527,307,220,East,1
2023,BUF,1,4,0.5,3,11,311,187,8,8,195,168,4,19,12,0.631578947368421,506,355,151,East,1
2023,CAR,1,7,0.7777777777777778,3,8,107,163,2,9,129,253,0,17,2,0.11764705882352941,236,416,-180,East,0
